CÓDIGO;SUS;TUNEP
31000002;0;0
31001017;555,79;1.077,90
31001025;507,69;1.073,57
31001084;198,23;634,1
31001092;185,08;488,27
31001106;434,73;1.103,82
31002021;529,17;1.044,41
31002030;636,58;1.134,90
31002048;191,74;678,27
31002056;231,14;711,77
31002064;196,55;623,75
31002072;219,83;469,8
31002080;194,17;634,1
31002099;185,08;488,27
31003010;917,36;2.014,20
31003028;529,17;1.010,77
31003036;1.503,93;2.193,22
31003060;180,61;218,31
31003079;221,02;520,71
31003095;152,19;455,65
31004024;537,49;1.508,62
31004032;1.503,93;2.193,22
31004040;191,74;678,27
31004059;712,81;1.902,41
31004067;154,58;623,75
31004075;309,82;455,16
31004083;187,73;553,43
31004105;97,67;369,9
31005012;555,79;1.081,38
31005020;576,34;2.027,66
31005039;1.503,94;2.193,22
31005047;183,95;401,92
31005063;196,55;623,75
31005071;221,06;487,37
31005080;185,08;488,27
31005098;219,05;372,28
31005101;322,06;846,1
31005110;693,75;693,75
31005128;520,45;520,45
31006019;716,21;1.463,98
31006027;651,79;1.130,37
31006035;433,11;864,41
31006043;216,28;401,92
31006078;310,37;693,11
31006108;322,06;920,74
31007015;726,35;1.571,68
31007023;673,51;2.115,35
31007031;1.543,32;2.193,22
31007040;183,95;400,24
31007074;333,32;741,75
31008011;696,19;1.249,25
31008020;538,03;1.280,77
31008038;530,99;650,67
31008046;183,95;400,24
31008100;335,23;1.169,03
31009018;625,98;1.327,75
31009026;538,03;1.280,77
31009034;433,11;876,15
31009042;322,06;713,99
31009077;242,35;741,42
31010016;622,15;1.181,50
31010024;413,27;1.261,30
31010032;1.350,54;2.193,22
31010040;322,07;646,06
31010075;244,55;741,42
31011012;555,79;1.081,38
31011039;681,76;1.221,21
31011047;272,93;678,06
31011055;356,1;768,75
31011071;333,24;487,37
31011101;501,46;928,88
31012019;576,23;1.654,79
31012027;204,59;1.019,48
31012035;493,83;1.729,60
31012043;221,73;657,75
31013015;562,38;1.385,10
31013023;530,27;1.130,37
31013031;321,56;677,7
31014011;557,35;1.288,99
31014038;415,12;1.100,93
31014046;183,95;467,2
31014054;421,51;1.512,91
31015018;622,4;1.110,61
31015034;433,12;825,27
31015042;403,68;920,45
31016014;555,48;1.222,10
31016030;681,76;1.537,11
31016049;356,18;1.050,71
31017010;562,97;1.397,09
31017037;335,72;1.187,47
31017045;322,06;664,48
31018017;555,79;1.077,90
31018041;269,78;391,87
31019013;348,85;983,01
31019030;433,11;1.139,30
31020011;555,78;1.037,04
31020038;438,03;1.370,62
31021018;555,65;1.177,50
31021034;681,76;1.594,43
31021042;304,78;631,79
31022014;687,37;2.270,90
31022030;337,95;800
31023010;514,28;794,82
31023037;466,48;1.033,95
31024033;373,97;557,14
31026036;364,53;1.277,55
31027032;416,65;1.329,33
31028039;1.255,36;2.193,22
31701108;559,52;1.141,59
31701116;2.657,94;4.651,40
31702082;232,93;707,71
31703038;2.671,68;4.675,44
31703054;2.570,00;4.497,50
